judge_id,item_id_1,item_id_2,pref
1,1,2,0
1,1,3,-1
1,1,4,-1
1,1,5,-1
1,1,6,-1
1,1,7,-1
1,1,8,1
1,1,9,0
1,1,10,0
1,1,11,-1
1,1,12,-1
1,1,13,0
1,1,14,-1
1,1,15,-1
1,1,16,0
1,1,17,-1
1,1,18,-1
1,1,19,1
1,1,20,-1
1,1,21,-1
1,1,22,1
1,1,23,1
1,1,24,0
1,1,25,-1
1,1,26,1
1,1,27,0
1,1,28,1
1,1,29,0
1,1,30,1
1,1,31,-1
1,1,32,1
1,1,33,1
1,1,34,1
1,1,35,-1
1,1,36,1
1,1,37,0
1,1,38,-1
1,1,39,-1
1,1,40,1
1,1,41,1
1,1,42,-1
1,1,43,0
1,1,44,-1
1,1,45,-1
1,1,46,0
1,1,47,1
1,1,48,0
1,1,49,-1
1,1,50,1
1,1,51,-1
1,1,52,0
1,1,53,-1
1,1,54,1
1,1,55,0
1,1,56,-1
1,1,57,-1
1,1,58,0
1,1,59,1
1,1,60,1
1,1,61,1
1,1,62,-1
1,1,63,0
1,1,64,-1
1,1,65,1
1,1,66,-1
1,1,67,1
1,1,68,0
1,1,69,0
1,1,70,0
1,1,71,1
1,1,72,1
1,1,73,-1
1,1,74,-1
1,1,75,1
1,1,76,-1
1,1,77,0
1,1,78,0
1,1,79,1
1,1,80,-1
1,1,81,-1
1,1,82,1
1,1,83,1
1,1,84,-1
1,1,85,-1
1,1,86,1
1,1,87,0
1,1,88,1
1,1,89,0
1,1,90,0
1,1,91,0
1,1,92,0
1,1,93,-1
1,1,94,-1
1,1,95,-1
1,1,96,-1
1,1,97,1
1,1,98,0
1,1,99,1
1,1,100,0
1,1,101,0
1,1,102,0
1,1,103,0
1,1,104,0
1,1,105,1
1,1,106,-1
1,1,107,1
1,1,108,-1
1,1,109,1
1,1,110,0
1,1,111,0
1,1,112,-1
1,1,113,0
1,1,114,-1
1,1,115,1
1,1,116,-1
1,1,117,0
1,1,118,-1
1,1,119,1
1,1,120,-1
1,1,121,-1
1,1,122,0
1,1,123,0
1,1,124,-1
1,1,125,-1
1,1,126,-1
1,1,127,-1
1,1,128,0
1,1,129,0
1,1,130,-1
1,1,131,1
1,1,132,-1
1,1,133,0
1,1,134,1
1,1,135,0
1,1,136,-1
1,1,137,0
1,1,138,1
1,1,139,1
1,1,140,-1
1,1,141,1
1,1,142,-1
1,1,143,-1
1,1,144,-1
1,1,145,-1
1,1,146,1
1,1,147,-1
1,1,148,1
1,1,149,1
1,1,150,-1
1,1,151,0
1,1,152,0
1,1,153,1
1,1,154,-1
1,1,155,1
1,1,156,-1
1,1,157,1
1,1,158,1
1,1,159,0
1,1,160,-1
1,1,161,1
1,1,162,1
1,1,163,-1
1,1,164,-1
1,1,165,-1
1,1,166,0
1,1,167,1
1,1,168,0
1,1,169,1
1,1,170,0
1,1,171,1
1,1,172,-1
1,1,173,-1
1,1,174,0
1,1,175,1
1,1,176,-1
1,1,177,-1
1,1,178,0
1,1,179,-1
1,1,180,-1
1,1,181,1
1,1,182,1
1,1,183,-1
1,1,184,1
1,1,185,1
1,1,186,-1
1,1,187,-1
1,1,188,1
1,1,189,0
1,1,190,0
1,1,191,1
1,1,192,1
1,1,193,-1
1,1,194,-1
1,1,195,1
1,1,196,1
1,1,197,1
1,1,198,1
1,1,199,0
1,1,200,0
1,1,201,0
1,1,202,-1
1,1,203,1
1,1,204,-1
1,1,205,-1
1,1,206,-1
1,1,207,0
1,1,208,1
1,1,209,0
1,1,210,0
1,1,211,-1
1,1,212,-1
1,1,213,-1
1,1,214,0
1,1,215,1
1,1,216,1
1,1,217,1
1,1,218,0
1,1,219,0
1,1,220,-1
1,1,221,0
1,1,222,-1
1,1,223,1
1,1,224,-1
1,1,225,1
1,1,226,1
1,1,227,-1
1,1,228,0
1,1,229,1
1,1,230,0
1,1,231,-1
1,1,232,-1
1,1,233,0
1,1,234,0
1,1,235,0
1,1,236,1
1,1,237,1
1,1,238,0
1,1,239,1
1,1,240,1
1,1,241,0
1,1,242,1
1,1,243,1
1,1,244,-1
1,1,245,1
1,1,246,0
1,1,247,0
1,1,248,1
1,1,249,1
1,1,250,-1
1,2,3,0
1,2,4,0
1,2,5,0
1,2,6,-1
1,2,7,1
1,2,8,0
1,2,9,0
1,2,10,1
1,2,11,-1
1,2,12,1
1,2,13,-1
1,2,14,0
1,2,15,-1
1,2,16,1
1,2,17,0
1,2,18,0
1,2,19,1
1,2,20,1
1,2,21,0
1,2,22,0
1,2,23,0
1,2,24,0
1,2,25,-1
1,2,26,1
1,2,27,0
1,2,28,1
1,2,29,0
1,2,30,0
1,2,31,0
1,2,32,1
1,2,33,0
1,2,34,1
1,2,35,-1
1,2,36,1
1,2,37,-1
1,2,38,1
1,2,39,0
1,2,40,0
1,2,41,0
1,2,42,1
1,2,43,-1
1,2,44,1
1,2,45,1
1,2,46,0
1,2,47,-1
1,2,48,1
1,2,49,-1
1,2,50,-1
1,2,51,-1
1,2,52,0
1,2,53,0
1,2,54,-1
1,2,55,1
1,2,56,0
1,2,57,-1
1,2,58,1
1,2,59,0
1,2,60,-1
1,2,61,1
1,2,62,-1
1,2,63,0
1,2,64,-1
1,2,65,0
1,2,66,1
1,2,67,-1
1,2,68,1
1,2,69,0
1,2,70,1
1,2,71,0
1,2,72,-1
1,2,73,1
1,2,74,0
1,2,75,0
1,2,76,-1
1,2,77,0
1,2,78,0
1,2,79,0
1,2,80,1
