judge_id,item_id,rank
0,0,1
0,40,2
0,9,3
0,25,4
0,23,5
0,7,6
0,11,7
0,2,8
0,17,9
0,60,10
0,33,11
0,10,12
0,1,13
0,16,14
0,6,15
0,18,16
0,37,17
0,21,18
0,20,19
0,41,20
0,8,21
0,29,22
0,31,23
0,3,24
0,12,25
0,44,26
0,76,27
0,78,28
0,15,29
0,30,30
0,14,30
0,13,32
0,47,33
0,39,34
0,4,35
0,42,36
0,26,36
0,5,38
0,51,39
0,35,40
0,36,41
0,38,42
0,34,43
0,55,44
0,84,45
0,22,46
0,45,46
0,48,48
0,67,49
0,24,49
0,27,51
0,58,51
0,81,53
0,49,54
0,43,54
0,19,56
0,53,56
0,80,56
0,59,59
0,64,60
0,57,61
0,46,62
0,73,63
0,61,64
0,114,65
0,96,66
0,83,67
0,94,67
0,95,67
0,62,70
0,103,71
0,102,72
0,87,73
0,28,74
0,63,74
0,82,76
0,90,76
0,69,78
0,65,78
0,93,80
0,54,80
0,75,82
0,100,83
0,68,84
0,88,85
0,131,86
0,85,87
0,108,88
0,99,89
0,32,90
0,52,90
0,97,90
0,50,93
0,74,94
0,86,95
0,70,95
0,104,97
0,109,98
0,101,98
0,134,100
0,105,101
0,139,102
0,79,102
0,120,104
0,91,104
0,77,104
0,111,104
0,144,104
0,66,109
0,119,109
0,142,109
0,124,112
0,137,112
0,117,114
0,89,114
0,56,114
0,98,117
0,136,118
0,107,119
0,126,119
0,72,121
0,110,122
0,113,123
0,92,123
0,112,125
0,129,125
0,148,127
0,145,127
0,121,129
0,127,130
0,123,130
0,106,132
0,130,132
0,152,132
0,164,132
0,115,132
0,155,132
0,140,138
0,116,139
0,146,139
0,125,139
0,147,139
0,160,139
0,151,139
0,71,139
0,132,139
0,135,139
0,156,148
0,122,149
0,157,149
0,169,149
0,141,149
0,163,149
0,167,149
0,154,155
0,133,155
0,173,155
0,165,155
0,118,159
0,149,159
1,0,1
1,14,2
1,4,3
1,3,4
1,1,5
1,6,6
1,24,7
1,27,8
1,2,9
1,45,10
1,10,11
1,66,12
1,12,13
1,32,14
1,13,15
1,39,16
1,26,16
1,5,18
1,15,19
1,31,20
1,42,21
1,7,22
1,11,23
1,44,23
1,16,25
1,18,26
1,17,27
1,28,28
1,8,29
1,65,30
1,34,31
1,20,32
1,23,32
1,25,34
1,30,35
1,52,36
1,50,37
1,9,37
1,36,39
1,22,40
1,35,41
1,72,42
1,105,43
1,41,44
1,19,45
1,118,46
1,21,46
1,47,48
1,48,49
1,38,50
1,74,51
1,60,51
1,57,53
1,59,54
1,43,54
1,56,56
1,40,57
1,55,57
1,33,59
1,97,60
1,76,61
1,79,62
1,75,63
1,68,64
1,46,64
1,77,64
1,101,67
1,67,68
1,29,68
1,110,68
1,64,71
1,115,72
1,86,73
1,133,74
1,104,74
1,123,76
1,92,76
1,117,78
1,49,79
1,69,80
1,107,80
1,70,80
1,54,80
1,37,80
1,106,85
1,71,85
1,102,87
1,100,87
1,113,87
1,51,87
1,85,91
1,87,91
1,80,91
1,143,91
1,127,95
1,95,95
1,81,95
1,53,98
1,63,99
1,82,100
1,83,100
1,161,100
1,112,103
1,58,103
1,73,105
1,93,105
1,120,105
1,90,105
1,153,105
1,132,105
1,61,111
1,128,112
1,62,113
1,159,113
1,138,113
1,126,113
1,116,117
1,98,117
1,109,117
1,91,117
1,134,117
1,149,122
1,141,122
1,121,122
1,119,122
1,111,122
1,125,127
2,0,1
2,14,2
2,3,3
2,6,4
2,1,5
2,2,6
2,9,7
2,4,8
2,5,9
2,28,10
2,26,11
2,12,12
2,19,13
2,15,14
2,7,15
2,32,16
2,30,17
2,11,18
2,18,19
2,10,20
2,29,21
2,16,22
2,13,23
2,8,24
2,49,25
2,40,26
2,61,27
2,36,28
2,17,29
2,31,30
2,41,31
2,21,32
2,24,33
2,22,34
2,46,35
2,50,36
2,23,37
2,37,38
2,43,39
2,38,40
2,20,41
2,33,42
2,34,43
2,56,44
2,48,45
2,35,46
2,70,47
2,42,48
2,52,48
2,39,50
2,68,51
2,60,52
2,54,53
