judge_id,item_id_1,item_id_2,pref
0,0,40,1
0,0,9,1
0,0,25,1
0,0,23,1
0,0,7,1
0,0,11,1
0,0,2,1
0,0,17,1
0,0,60,1
0,0,33,1
0,0,10,1
0,0,1,1
0,0,16,1
0,0,6,1
0,0,18,1
0,0,37,1
0,0,21,1
0,0,20,1
0,0,41,1
0,0,8,1
0,0,29,1
0,0,31,1
0,0,3,1
0,0,12,1
0,0,44,1
0,0,76,1
0,0,78,1
0,0,15,1
0,0,30,1
0,0,14,1
0,0,13,1
0,0,47,1
0,0,39,1
0,0,4,1
0,0,42,1
0,0,26,1
0,0,5,1
0,0,51,1
0,0,35,1
0,0,36,1
0,0,38,1
0,0,34,1
0,0,55,1
0,0,84,1
0,0,22,1
0,0,45,1
0,0,48,1
0,0,67,1
0,0,24,1
0,0,27,1
0,0,58,1
0,0,81,1
0,0,49,1
0,0,43,1
0,0,19,1
0,0,53,1
0,0,80,1
0,0,59,1
0,0,64,1
0,0,57,1
0,0,46,1
0,0,73,1
0,0,61,1
0,0,114,1
0,0,96,1
0,0,83,1
0,0,94,1
0,0,95,1
0,0,62,1
0,0,103,1
0,0,102,1
0,0,87,1
0,0,28,1
0,0,63,1
0,0,82,1
0,0,90,1
0,0,69,1
0,0,65,1
0,0,93,1
0,0,54,1
0,0,75,1
0,0,100,1
0,0,68,1
0,0,88,1
0,0,131,1
0,0,85,1
0,0,108,1
0,0,99,1
0,0,32,1
0,0,52,1
0,0,97,1
0,0,50,1
0,0,74,1
0,0,86,1
0,0,70,1
0,0,104,1
0,0,109,1
0,0,101,1
0,0,134,1
0,0,105,1
0,0,139,1
0,0,79,1
0,0,120,1
0,0,91,1
0,0,77,1
0,0,111,1
0,0,144,1
0,0,66,1
0,0,119,1
0,0,142,1
0,0,124,1
0,0,137,1
0,0,117,1
0,0,89,1
0,0,56,1
0,0,98,1
0,0,136,1
0,0,107,1
0,0,126,1
0,0,72,1
0,0,110,1
0,0,113,1
0,0,92,1
0,0,112,1
0,0,129,1
0,0,148,1
0,0,145,1
0,0,121,1
0,0,127,1
0,0,123,1
0,0,106,1
0,0,130,1
0,0,152,1
0,0,164,1
0,0,115,1
0,0,155,1
0,0,140,1
0,0,116,1
0,0,146,1
0,0,125,1
0,0,147,1
0,0,160,1
0,0,151,1
0,0,71,1
0,0,132,1
0,0,135,1
0,0,156,1
0,0,122,1
0,0,157,1
0,0,169,1
0,0,141,1
0,0,163,1
0,0,167,1
0,0,154,1
0,0,133,1
0,0,173,1
0,0,165,1
0,0,118,1
0,0,149,1
0,40,60,1
0,40,41,1
0,40,44,1
0,40,76,1
0,40,78,1
0,40,47,1
0,40,42,1
0,40,51,1
0,40,55,1
0,40,84,1
0,40,45,1
0,40,48,1
0,40,67,1
0,40,58,1
0,40,81,1
0,40,49,1
0,40,43,1
0,40,53,1
0,40,80,1
0,40,59,1
0,40,64,1
0,40,57,1
0,40,46,1
0,40,73,1
0,40,61,1
0,40,114,1
0,40,96,1
0,40,83,1
0,40,94,1
0,40,95,1
0,40,62,1
0,40,103,1
0,40,102,1
0,40,87,1
0,40,63,1
0,40,82,1
0,40,90,1
0,40,69,1
0,40,65,1
0,40,93,1
0,40,54,1
0,40,75,1
0,40,100,1
0,40,68,1
0,40,88,1
0,40,131,1
0,40,85,1
0,40,108,1
0,40,99,1
0,40,52,1
0,40,97,1
0,40,50,1
0,40,74,1
0,40,86,1
0,40,70,1
0,40,104,1
0,40,109,1
0,40,101,1
0,40,134,1
0,40,105,1
0,40,139,1
0,40,79,1
0,40,120,1
0,40,91,1
0,40,77,1
0,40,111,1
0,40,144,1
0,40,66,1
0,40,119,1
0,40,142,1
0,40,124,1
0,40,137,1
0,40,117,1
0,40,89,1
0,40,56,1
0,40,98,1
0,40,136,1
0,40,107,1
0,40,126,1
0,40,72,1
0,40,110,1
0,40,113,1
0,40,92,1
0,40,112,1
0,40,129,1
0,40,148,1
0,40,145,1
0,40,121,1
0,40,127,1
0,40,123,1
0,40,106,1
0,40,130,1
0,40,152,1
0,40,164,1
0,40,115,1
0,40,155,1
0,40,140,1
0,40,116,1
0,40,146,1
0,40,125,1
0,40,147,1
0,40,160,1
0,40,151,1
0,40,71,1
0,40,132,1
0,40,135,1
0,40,156,1
0,40,122,1
0,40,157,1
0,40,169,1
0,40,141,1
0,40,163,1
0,40,167,1
0,40,154,1
0,40,133,1
0,40,173,1
0,40,165,1
0,40,118,1
0,40,149,1
0,9,40,-1
0,9,25,1
0,9,23,1
0,9,11,1
0,9,17,1
0,9,60,1
0,9,33,1
0,9,10,1
0,9,16,1
0,9,18,1
0,9,37,1
0,9,21,1
0,9,20,1
0,9,41,1
0,9,29,1
0,9,31,1
0,9,12,1
0,9,44,1
0,9,76,1
0,9,78,1
0,9,15,1
0,9,30,1
0,9,14,1
0,9,13,1
0,9,47,1
0,9,39,1
0,9,42,1
0,9,26,1
0,9,51,1
0,9,35,1
0,9,36,1
0,9,38,1
0,9,34,1
0,9,55,1
0,9,84,1
0,9,22,1
0,9,45,1
0,9,48,1
0,9,67,1
0,9,24,1
0,9,27,1
0,9,58,1
0,9,81,1
0,9,49,1
0,9,43,1
0,9,19,1
0,9,53,1
0,9,80,1
0,9,59,1
0,9,64,1
0,9,57,1
0,9,46,1
0,9,73,1
0,9,61,1
0,9,114,1
0,9,96,1
0,9,83,1
0,9,94,1
0,9,95,1
0,9,62,1
0,9,103,1
0,9,102,1
0,9,87,1
0,9,28,1
0,9,63,1
0,9,82,1
0,9,90,1
0,9,69,1
0,9,65,1
0,9,93,1
0,9,54,1
0,9,75,1
0,9,100,1
0,9,68,1
0,9,88,1
0,9,131,1
0,9,85,1
0,9,108,1
0,9,99,1
0,9,32,1
0,9,52,1
0,9,97,1
0,9,50,1
0,9,74,1
0,9,86,1
0,9,70,1
0,9,104,1
0,9,109,1
0,9,101,1
0,9,134,1
0,9,105,1
0,9,139,1
0,9,79,1
0,9,120,1
0,9,91,1
0,9,77,1
0,9,111,1
0,9,144,1
0,9,66,1
0,9,119,1
0,9,142,1
0,9,124,1
0,9,137,1
0,9,117,1
0,9,89,1
0,9,56,1
0,9,98,1
0,9,136,1
0,9,107,1
0,9,126,1
0,9,72,1
0,9,110,1
0,9,113,1
0,9,92,1
0,9,112,1
0,9,129,1
0,9,148,1
